"Medicare Part B Drug Spending and Utilization, Calendar Years 2013 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,Calendar Year 2017,,,,,,,,Yearly Change  ,
J1020,"Injection, methylprednisolone acetate, 20 mg",Depo-Medrol (J1020)*,MethylprednIsolone Acetate*,"$1,215,848","402,983","243,711","164,730",$3.02,$4.99,$7.38,"$1,266,583","390,379","234,980","159,288",$3.24,$5.39,$7.95,"$1,096,474","372,433","225,237","153,354",$2.94,$4.87,$7.15,"$1,549,673","346,694","212,079","143,819",$4.47,$7.31,$10.78,"$1,537,166","305,879","193,233","131,016",$5.03,$7.95,$11.73,$5.24,12.43%,13.60%
J1030,"Injection, methylprednisolone acetate, 40 mg",Depo-Medrol (J1030)*,MethylprednIsolone Acetate*,"$7,196,455","2,544,222","1,816,749","1,155,379",$2.83,$3.96,$6.23,"$7,836,648","2,658,486","1,881,944","1,194,368",$2.95,$4.16,$6.56,"$9,766,567","2,776,717","1,945,440","1,234,941",$3.52,$5.02,$7.91,"$13,194,644","2,843,544","1,970,740","1,256,390",$4.64,$6.70,$10.50,"$16,228,687","2,844,384","1,969,507","1,260,394",$5.71,$8.24,$12.88,$5.85,22.96%,19.17%
J1040,"Injection, methylprednisolone acetate, 80 mg",Depo-Medrol (J1040)*,MethylprednIsolone Acetate*,"$9,574,174","1,746,560","1,500,401","947,480",$5.48,$6.38,$10.10,"$9,771,640","1,733,469","1,491,291","947,467",$5.64,$6.55,$10.31,"$11,500,465","1,762,060","1,512,556","962,333",$6.53,$7.60,$11.95,"$15,599,634","1,765,483","1,508,596","961,779",$8.84,$10.34,$16.22,"$18,823,032","1,731,294","1,476,288","941,328",$10.87,$12.75,$20.00,$11.17,23.05%,18.67%
J1050,"Injection, medroxyprogesterone acetate, 1 mg",Depo-Provera,Medroxyprogesterone Acetate,"$473,967","1,998,985","15,603","8,663",$0.24,$30.38,$54.71,"$503,648","1,994,035","15,578","8,086",$0.25,$32.33,$62.29,"$639,096","2,088,224","15,983","8,167",$0.31,$39.99,$78.25,"$807,953","2,221,979","16,778","8,271",$0.36,$48.16,$97.69,"$909,802","2,051,794","15,502","7,546",$0.44,$58.69,$120.57,$0.46,21.95%,16.94%
J1071,"Injection, testosterone cypionate, 1 mg",Depo-Testosterone*,Testosterone Cypionate*, , , , , , , , , , , , , , ,"$3,075,915","104,115,765","582,502","70,527",$0.03,$5.28,$43.61,"$2,974,149","106,411,427","585,844","67,366",$0.03,$5.08,$44.15,"$2,406,845","104,399,702","572,321","63,888",$0.02,$4.21,$37.67,$0.02,-17.52%,-11.66%
J1100,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone Sodium Phosphate*,Dexamethasone Sod Phosphate*,"$2,169,589","19,724,848","2,456,360","954,780",$0.11,$0.88,$2.27,"$2,596,374","19,553,171","2,456,844","983,618",$0.13,$1.06,$2.64,"$2,752,745","19,406,479","2,480,291","1,034,226",$0.14,$1.11,$2.66,"$2,624,266","19,773,074","2,534,269","1,093,604",$0.13,$1.04,$2.40,"$2,261,762","19,676,234","2,536,695","1,147,214",$0.11,$0.89,$1.97,$0.12,-13.39%,1.11%
J1110,"Injection, dihydroergotamine mesylate, per 1 mg",D.H.E.45*,Dihydroergotamine Mesylate*,"$94,418","2,942","2,427","1,379",$32.09,$38.90,$68.47,"$96,236","2,913","2,206","1,290",$33.04,$43.62,$74.60,"$105,727","2,663","1,935","1,254",$39.70,$54.64,$84.31,"$83,098","1,701","1,393",815,$48.86,$59.65,$101.96,"$122,336","1,990","1,463",850,$61.48,$83.62,$143.92,$121.44,25.82%,17.65%
J1160,"Injection, digoxin, up to 0.5 mg",Digoxin*,Digoxin*,$345,178,163,152,$1.94,$2.12,$2.27,$550,149,145,121,$3.69,$3.80,$4.55,"$2,455",129,118,102,$19.03,$20.81,$24.07,"$79,166","8,868","6,003","5,708",$8.93,$13.19,$13.87,$571,85,81,69,$6.72,$7.05,$8.28,$7.04,-24.75%,36.42%
J1162,"Injection, digoxin immune fab (ovine), per vial",Digifab,Digoxin Immune Fab,"$906,836",860,252,248,"$1,054.46","$3,598.55","$3,656.60","$713,994",479,195,194,"$1,490.59","$3,661.51","$3,680.38","$1,044,094",454,172,171,"$2,299.77","$6,070.31","$6,105.81","$1,054,277",368,124,124,"$2,864.88","$8,502.23","$8,502.23","$882,920",301,91,90,"$2,933.29","$9,702.42","$9,810.22","$3,210.28",2.39%,29.15%
J1170,"Injection, hydromorphone, up to 4 mg",Dilaudid*,Hydromorphone HCL*,"$3,720,539","2,494,386","30,871","10,673",$1.49,$120.52,$348.59,"$3,174,029","1,956,770","29,208","9,831",$1.62,$108.67,$322.86,"$2,607,749","1,631,181","27,624","9,183",$1.60,$94.40,$283.98,"$2,384,460","1,453,118","25,825","7,968",$1.64,$92.33,$299.25,"$2,716,877","1,359,686","23,218","6,875",$2.00,$117.02,$395.18,$2.03,21.77%,7.58%
J1190,"Injection, dexrazoxane hydrochloride, per 250 mg",Dexrazoxane*,Dexrazoxane HCL*,"$665,798","4,430","1,055",341,$150.29,$631.09,"$1,952.49","$464,794","3,386",849,266,$137.27,$547.46,"$1,747.35","$563,760","4,101","1,031",320,$137.47,$546.81,"$1,761.75","$726,198","4,260","1,051",323,$170.47,$690.96,"$2,248.29","$1,117,547","5,881","1,229",445,$190.03,$909.31,"$2,511.34",$193.45,11.47%,6.04%
J1200,"Injection, diphenhydramine hcl, up to 50 mg",Diphenhydramine HCL (J1200),Diphenhydramine HCL,"$524,842","712,346","696,896","149,058",$0.74,$0.75,$3.52,"$426,937","699,350","685,139","145,425",$0.61,$0.62,$2.94,"$398,946","675,594","660,366","139,919",$0.59,$0.60,$2.85,"$396,305","680,162","663,499","137,229",$0.58,$0.60,$2.89,"$441,884","660,101","642,557","133,540",$0.67,$0.69,$3.31,$0.63,14.89%,-2.37%
J1205,"Injection, chlorothiazide sodium, per 500 mg",Chlorothiazide Sodium*,Chlorothiazide Sodium*,"$299,402","1,558",860,598,$192.17,$348.14,$500.67,"$240,126","1,810","1,068",546,$132.67,$224.84,$439.79,"$262,515","2,152","1,378",576,$121.99,$190.50,$455.76,"$220,862","2,215","1,229",551,$99.71,$179.71,$400.84,"$151,130","2,275","1,371",629,$66.43,$110.23,$240.27,$72.44,-33.38%,-23.32%
J1212,"Injection, dmso, dimethyl sulfoxide, 50%, 50 ml",Rimso-50,Dimethyl Sulfoxide,"$1,233,809","15,244","14,977","3,276",$80.94,$82.38,$376.62,"$959,904","12,623","12,397","2,464",$76.04,$77.43,$389.57,"$1,206,153","12,023","11,939","2,321",$100.32,$101.03,$519.67,"$2,527,411","10,729","10,629","2,238",$235.56,$237.78,"$1,129.32","$3,666,572","9,858","9,829","1,670",$371.94,$373.04,"$2,195.55",$534.77,57.90%,46.41%
J1230,"Injection, methadone hcl, up to 10 mg",Methadone HCL,Methadone HCL,"$1,533",215,199,71,$7.13,$7.70,$21.59,"$1,499",202,189,74,$7.42,$7.93,$20.25,"$2,241",237,215,71,$9.45,$10.42,$31.56,"$2,522",200,197,72,$12.61,$12.80,$35.03,"$3,784",202,201,66,$18.73,$18.83,$57.33,$19.11,48.54%,27.32%
J1240,"Injection, dimenhydrinate, up to 50 mg",Dimenhydrinate,Dimenhydrinate,"$1,611",352,306,192,$4.58,$5.27,$8.39,"$1,724",427,354,191,$4.04,$4.87,$9.03,"$2,589",562,443,235,$4.61,$5.84,$11.02,"$4,396",915,522,274,$4.81,$8.42,$16.04,"$3,030",769,616,294,$3.94,$4.92,$10.31,$7.39,-17.98%,-3.70%
J1245,"Injection, dipyridamole, per 10 mg",Dipyridamole,Dipyridamole,"$381,476","449,339","98,844","97,487",$0.85,$3.86,$3.91,"$334,008","416,244","90,715","89,343",$0.80,$3.68,$3.74,"$305,057","387,184","83,037","81,889",$0.79,$3.67,$3.73,"$285,245","363,285","78,530","77,360",$0.79,$3.63,$3.69,"$242,115","311,214","68,841","68,004",$0.78,$3.52,$3.56,$0.79,-0.92%,-2.16%
J1250,"Injection, dobutamine hydrochloride, per 250 mg",Dobutamine HCL*,Dobutamine HCL*,"$668,705","135,201","25,782","18,910",$4.95,$25.94,$35.36,"$616,110","129,077","24,931","18,227",$4.77,$24.71,$33.80,"$773,985","166,405","25,384","16,438",$4.65,$30.49,$47.09,"$849,166","179,730","25,849","14,951",$4.72,$32.85,$56.80,"$1,040,169","190,214","24,937","13,526",$5.47,$41.71,$76.90,$5.63,15.74%,2.54%
J1265,"Injection, dopamine hcl, 40 mg",Dopamine HCL*,Dopamine HCL*,"$15,629","29,818",691,83,$0.52,$22.62,$188.30,"$25,619","42,102",695,53,$0.61,$36.86,$483.38,"$22,261","36,831",608,36,$0.60,$36.61,$618.35,"$26,085","43,016",584,47,$0.61,$44.67,$555.00,"$25,068","45,012",560,48,$0.56,$44.76,$522.25,$0.59,-8.16%,1.53%
J1267,"Injection, doripenem, 10 mg",Doribax,Doripenem,"$29,798","57,064",591,51,$0.52,$50.42,$584.28,"$39,477","67,077",383,28,$0.59,$103.07,"$1,409.88","$145,946","214,107",587,63,$0.68,$248.63,"$2,316.60","$86,595","112,482",560,46,$0.77,$154.63,"$1,882.50","$33,286","50,960",165,22,$0.65,$201.73,"$1,513.00",$0.65,-15.16%,5.76%
J1300,"Injection, eculizumab, 10 mg",Soliris,Eculizumab,"$141,415,982","717,635","6,372",411,$197.06,"$22,193.34","$344,077.81","$177,571,339","878,768","7,483",504,$202.07,"$23,729.97","$352,324.09","$232,079,370","1,109,934","9,191",619,$209.09,"$25,250.72","$374,926.28","$265,550,132","1,246,477","10,328",689,$213.04,"$25,711.67","$385,413.83","$311,737,718","1,413,310","11,662",776,$220.57,"$26,731.07","$401,723.86",$225.77,3.54%,2.86%
J1325,"Injection, epoprostenol, 0.5 mg",Epoprostenol Sodium*,Epoprostenol Sodium (Glycine)*,"$22,213,597","1,776,147","6,044",653,$12.51,"$3,675.31","$34,017.76","$21,101,628","1,696,575","5,937",623,$12.44,"$3,554.26","$33,870.99","$19,952,049","1,604,148","6,957",613,$12.44,"$2,867.91","$32,548.20","$19,595,503","1,575,414","7,734",612,$12.44,"$2,533.68","$32,018.80","$21,569,947","1,428,116","7,843",560,$15.10,"$2,750.22","$38,517.76",$15.54,21.43%,4.83%
J1335,"Injection, ertapenem sodium, 500 mg",Invanz,Ertapenem Sodium,"$3,899,792","123,234","55,728","5,944",$31.65,$69.98,$656.09,"$4,679,136","138,490","60,414","6,432",$33.79,$77.45,$727.48,"$5,365,947","144,244","61,568","6,810",$37.20,$87.15,$787.95,"$6,204,090","146,500","66,868","7,078",$42.35,$92.78,$876.53,"$7,544,829","151,891","68,134","7,222",$49.67,$110.74,"$1,044.70",$50.45,17.29%,11.93%
J1364,"Injection, erythromycin lactobionate, per 500 mg",Erythrocin Lactobionate,Erythromycin Lactobionate,"$6,212",381,359,299,$16.31,$17.30,$20.78,"$14,407",421,417,298,$34.22,$34.55,$48.35,"$230,827","4,885","1,224","1,029",$47.25,$188.58,$224.32,"$178,627","3,552","1,203",886,$50.29,$148.48,$201.61,"$86,241","2,279",599,552,$37.84,$143.98,$156.23,$61.62,-24.75%,23.43%
J1380,"Injection, estradiol valerate, up to 10 mg",Delestrogen*,Estradiol Valerate*,"$166,092","19,214","12,230","2,474",$8.64,$13.58,$67.13,"$127,859","14,677","9,606","1,974",$8.71,$13.31,$64.77,"$125,008","12,576","8,057","1,589",$9.94,$15.52,$78.67,"$113,467","12,186","7,449","1,481",$9.31,$15.23,$76.62,"$98,668","10,120","6,193","1,219",$9.75,$15.93,$80.94,$10.49,4.71%,3.05%
J1410,"Injection, estrogen conjugated, per 25 mg",Premarin,"Estrogens, Conjugated","$267,507","2,985","2,331",767,$89.62,$114.76,$348.77,"$154,932","1,845","1,540",587,$84.00,$100.61,$263.94,"$133,962","1,470","1,342",413,$91.13,$99.82,$324.36,"$127,460","1,295","1,192",365,$98.42,$106.93,$349.20,"$90,196","1,036",975,291,$87.06,$92.51,$309.95,$291.17,-11.54%,-0.72%
J1439,"Injection, ferric carboxymaltose, 1 mg",Injectafer,Ferric Carboxymaltose, , , , , , , ,"$12,318,625","11,562,567","14,897","8,240",$1.07,$826.92,"$1,494.98","$50,495,429","48,195,374","60,906","29,590",$1.05,$829.07,"$1,706.50","$85,641,974","82,489,691","103,250","49,853",$1.04,$829.46,"$1,717.89","$114,114,931","109,495,328","135,823","66,415",$1.04,$840.17,"$1,718.21",$1.06,0.38%,-0.73%
J1442,"Injection, filgrastim (g-csf), excludes biosimilars, 1 microgram",Neupogen,Filgrastim, , , , , , , ,"$144,528,509","147,574,143","295,332","43,821",$0.98,$489.38,"$3,298.16","$127,437,544","130,175,913","261,677","39,182",$0.98,$487.00,"$3,252.45","$88,811,081","89,865,849","180,522","29,825",$0.99,$491.97,"$2,977.74","$59,394,175","60,124,954","121,318","19,868",$0.99,$489.57,"$2,989.44",$1.01,-0.04%,0.29%
J1447,"Injection, tbo-filgrastim, 1 microgram",Granix,Tbo-Filgrastim, , , , , , , , , , , , , , , , , , , , , ,"$19,332,823","25,296,799","43,776","9,256",$0.76,$441.63,"$2,088.68","$16,079,342","24,854,913","42,472","8,758",$0.65,$378.59,"$1,835.96",$0.66,-15.35%,-15.35%
J1450,"Injection fluconazole, 200 mg",Fluconazole In Dextrose*,"Fluconazole In Dextrose,Iso-Os*","$22,627","4,437","2,616",518,$5.10,$8.65,$43.68,"$22,867","5,191","2,852",507,$4.41,$8.02,$45.10,"$16,122","4,090","2,128",367,$3.94,$7.58,$43.93,"$27,359","5,814","3,272",298,$4.71,$8.36,$91.81,"$21,310","4,785","2,624",219,$4.45,$8.12,$97.30,$4.52,-5.36%,-3.33%
J1453,"Injection, fosaprepitant, 1 mg",Emend,Fosaprepitant Dimeglumine,"$60,879,402","35,809,825","220,608","57,826",$1.70,$275.96,"$1,052.80","$68,912,476","40,669,123","248,193","64,250",$1.69,$277.66,"$1,072.57","$74,752,905","43,944,749","268,013","67,876",$1.70,$278.92,"$1,101.32","$83,442,218","46,954,528","286,576","71,896",$1.78,$291.17,"$1,160.60","$93,740,803","49,314,607","303,257","75,761",$1.90,$309.11,"$1,237.32",$1.93,6.97%,2.83%
J1459,"Injection, immune globulin (privigen), intravenous, non-lyophilized (e.g., liquid), 500 mg",Privigen,Immun Glob G(Igg)/Pro/Iga 0-50,"$165,380,025","4,628,567","49,929","8,418",$35.73,"$3,312.30","$19,646.00","$189,093,109","5,208,776","57,460","9,290",$36.30,"$3,290.87","$20,354.48","$207,525,969","5,607,689","62,560","9,667",$37.01,"$3,317.23","$21,467.46","$237,070,906","6,316,036","70,909","10,192",$37.53,"$3,343.31","$23,260.49","$275,311,463","7,246,869","80,604","11,566",$37.99,"$3,415.61","$23,803.52",$38.66,1.21%,1.55%
J1460,"Injection, gamma globulin, intramuscular, 1 cc",Gamastan S-D (J1460),Immune Globul G (Igg)/Glycine,"$90,035","3,867","1,378",424,$23.28,$65.34,$212.35,"$102,597","4,039","1,397",331,$25.40,$73.44,$309.96,"$90,745","3,291","1,181",190,$27.57,$76.84,$477.61,"$112,366","3,583","1,108",186,$31.37,$101.41,$604.12,"$167,627","5,248","1,527",310,$31.94,$109.78,$540.73,$34.93,1.85%,8.23%
J1556,"Injection, immune globulin (bivigam), 500 mg",Bivigam,Immun Glob G(Igg)/Gly/Iga Ov50, , , , , , , ,"$5,912,313","155,861","2,034",316,$37.93,"$2,906.74","$18,709.85","$7,759,003","206,491","2,499",438,$37.58,"$3,104.84","$17,714.62","$13,715,648","361,243","3,808",532,$37.97,"$3,601.80","$25,781.29","$1,718,716","47,742",551,164,$36.00,"$3,119.27","$10,479.98",$38.02,-5.18%,-1.73%
J1557,"Injection, immune globulin, (gammaplex), intravenous, non-lyophilized (e.g., liquid), 500 mg",Gammaplex,Immun Glob G/Sorb/Gly/Iga 0-50,"$4,489,095","122,291","1,605",288,$36.71,"$2,796.94","$15,587.14","$10,230,451","275,172","3,790",729,$37.18,"$2,699.33","$14,033.54","$9,478,833","263,798","3,751",588,$35.93,"$2,527.01","$16,120.46","$17,980,441","494,996","6,866","1,316",$36.32,"$2,618.77","$13,662.95","$37,721,937","917,437","12,643","2,034",$41.12,"$2,983.62","$18,545.69",$42.10,13.19%,2.88%
J1559,"Injection, immune globulin (hizentra), 100 mg",Hizentra,Immun Glob G(Igg)/Pro/Iga 0-50,"$140,307,121","9,903,039","29,410","2,712",$14.17,"$4,770.73","$51,735.66","$161,779,525","11,465,803","32,010","2,957",$14.11,"$5,054.03","$54,710.69","$180,623,994","12,798,576","34,603","3,244",$14.11,"$5,219.89","$55,679.41","$195,377,038","13,844,874","37,126","3,491",$14.11,"$5,262.54","$55,965.92","$134,536,964","13,579,520","36,079","3,498",$9.91,"$3,728.95","$38,461.11",$9.83,-29.79%,-8.55%
J1560,"Injection, gamma globulin, intramuscular, over 10 cc",Gamastan S-D (J1560),Immune Globul G (Igg)/Glycine,"$12,363",139,47,19,$88.94,$263.03,$650.66,"$10,917",58,53,11,$188.23,$205.99,$992.48,"$11,647",62,62, ,$187.85,$187.85, ,"$12,749",65,64,15,$196.13,$199.20,$849.91,"$27,871",180,165,24,$154.84,$168.91,"$1,161.28",$349.29,-21.05%,14.87%
J1561,"Injection, immune globulin, (gamunex-c/gammaked), non-lyophilized (e.g., liquid), 500 mg",Gammaked*,Immune Globul G/Gly/Iga Avg 46*,"$216,141,525","5,607,102","64,395","9,280",$38.55,"$3,356.50","$23,291.11","$245,806,865","6,243,375","69,631","9,574",$39.37,"$3,530.14","$25,674.42","$288,483,336","7,303,309","79,681","10,478",$39.50,"$3,620.48","$27,532.29","$299,418,884","7,457,912","82,092","10,828",$40.15,"$3,647.36","$27,652.28","$276,214,621","7,619,462","82,151","11,481",$36.25,"$3,362.28","$24,058.41",$36.93,-9.71%,-1.52%
J1566,"Injection, immune globulin, intravenous, lyophilized (e.g., powder), not otherwise specified, 500 mg",Carimune NF Nanofiltered*,Immun Globg(Igg)/Sucr/Iga Ov50*,"$43,737,014","1,402,645","17,451","3,166",$31.18,"$2,506.28","$13,814.60","$58,502,135","1,947,997","23,559","3,677",$30.03,"$2,483.22","$15,910.29","$48,562,836","1,639,477","19,330","2,949",$29.62,"$2,512.30","$16,467.56","$53,602,492","1,600,258","19,560","2,823",$33.50,"$2,740.41","$18,987.78","$62,198,264","1,921,562","23,673","3,158",$32.37,"$2,627.39","$19,695.46",$32.89,-3.37%,0.94%
J1568,"Injection, immune globulin, (octagam), intravenous, non-lyophilized (e.g., liquid), 500 mg",Octagam,Immun Globg(Igg)/Malt/Iga Ov50,"$88,691,981","2,848,014","39,936","6,496",$31.14,"$2,220.85","$13,653.32","$88,289,102","2,749,052","37,654","6,375",$32.12,"$2,344.75","$13,849.27","$165,582,882","4,225,357","56,113","8,144",$39.19,"$2,950.88","$20,331.89","$229,454,445","5,694,965","73,679","10,666",$40.29,"$3,114.24","$21,512.70","$177,995,346","5,097,667","66,764","10,211",$34.92,"$2,666.04","$17,431.73",$35.56,-13.34%,2.90%
J1569,"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg",Gammagard Liquid,Immun Glob G(Igg)/Gly/Iga Ov50,"$221,314,064","5,698,800","73,023","11,271",$38.84,"$3,030.74","$19,635.71","$252,965,791","6,361,121","80,873","12,119",$39.77,"$3,127.94","$20,873.49","$263,949,779","6,684,634","82,709","11,702",$39.49,"$3,191.31","$22,555.95","$282,666,217","7,135,887","86,488","12,021",$39.61,"$3,268.27","$23,514.37","$353,520,324","8,969,637","107,894","15,426",$39.41,"$3,276.55","$22,917.17",$40.15,-0.50%,0.37%
J1570,"Injection, ganciclovir sodium, 500 mg",Cytovene*,Ganciclovir Sodium*,"$685,060","15,044","3,839",715,$45.54,$178.45,$958.13,"$686,452","14,718","3,823",711,$46.64,$179.56,$965.47,"$365,613","9,994","1,787",361,$36.58,$204.60,"$1,012.78","$402,005","11,242","1,888",373,$35.76,$212.93,"$1,077.76","$859,242","12,948","1,957",384,$66.36,$439.06,"$2,237.61",$67.49,85.57%,9.87%
J1571,"Injection, hepatitis b immune globulin (hepagam b), intramuscular, 0.5 ml",Hepagam B,Hepatitis B Immun Glob/Maltose,"$158,164","3,129",273,102,$50.55,$579.36,"$1,550.63","$94,442","1,859",175,61,$50.80,$539.67,"$1,548.23","$88,997","1,678",170,60,$53.04,$523.51,"$1,483.29","$84,908","1,557",132,46,$54.53,$643.25,"$1,845.84","$71,743","1,232",108,45,$58.23,$664.29,"$1,594.30",$59.63,6.78%,3.60%
J1572,"Injection, immune globulin, (flebogamma/flebogamma dif), intravenous, non-lyophilized (e.g., liquid), 500 mg",Flebogamma Dif,Imm Glob G (Igg)/Sorb/Iga 0-50,"$65,308,067","1,855,806","22,538","3,826",$35.19,"$2,897.69","$17,069.54","$68,164,835","1,861,749","21,486","3,629",$36.61,"$3,172.52","$18,783.37","$63,733,149","1,823,729","20,703","3,300",$34.95,"$3,078.45","$19,313.08","$67,930,307","1,810,951","20,307","3,030",$37.51,"$3,345.17","$22,419.24","$45,928,221","1,540,653","17,062","2,875",$29.81,"$2,691.84","$15,975.03",$30.15,-20.53%,-4.06%
J1575,"Injection, immune globulin/hyaluronidase, (hyqvia), 100 mg immuneglobulin",Hyqvia,"Igg/Hyaluronidase,recombinant", , , , , , , , , , , , , , , , , , , , , ,"$35,624,956","2,198,891","6,279",885,$16.20,"$5,673.67","$40,254.19","$38,369,845","2,969,473","8,153",909,$12.92,"$4,706.22","$42,211.05",$13.02,-20.24%,-20.24%
J1580,"Injection, garamycin, gentamicin, up to 80 mg",Gentamicin Sulfate*,Gentamicin Sulfate*,"$223,457","191,786","129,328","82,894",$1.17,$1.73,$2.70,"$224,896","175,415","123,974","78,934",$1.28,$1.81,$2.85,"$253,181","183,191","127,353","81,270",$1.38,$1.99,$3.12,"$231,017","175,584","127,386","81,422",$1.32,$1.81,$2.84,"$265,060","173,728","124,069","79,859",$1.53,$2.14,$3.32,$1.53,15.96%,6.97%
J1602,"Injection, golimumab, 1 mg, for intravenous use",Simponi Aria,Golimumab, , , , , , , ,"$61,419,868","2,600,170","15,036","4,305",$23.62,"$4,084.85","$14,267.10","$126,154,052","5,319,538","30,500","7,737",$23.72,"$4,136.20","$16,305.29","$186,314,327","7,698,130","43,962","10,508",$24.20,"$4,238.08","$17,730.71","$229,811,823","9,462,996","54,225","12,631",$24.29,"$4,238.12","$18,194.27",$24.71,0.34%,0.93%
J1610,"Injection, glucagon hydrochloride, per 1 mg",Glucagen*,"Glucagon,human Recombinant*","$7,604,882","63,882","56,697","53,381",$119.05,$134.13,$142.46,"$8,612,319","63,643","56,435","53,113",$135.32,$152.61,$162.15,"$10,388,618","61,723","53,763","51,174",$168.31,$193.23,$203.01,"$12,170,181","62,866","55,180","52,435",$193.59,$220.55,$232.10,"$10,579,273","53,418","47,557","45,176",$198.05,$222.45,$234.18,$204.17,2.30%,13.57%
J1626,"Injection, granisetron hydrochloride, 100 mcg",Granisetron HCL (J1626)*,Granisetron HCL*,"$1,362,970","2,454,761","245,678","34,011",$0.56,$5.55,$40.07,"$850,869","2,140,029","214,469","30,140",$0.40,$3.97,$28.23,"$1,022,155","2,039,809","204,400","28,342",$0.50,$5.00,$36.07,"$690,640","2,019,275","201,339","27,860",$0.34,$3.43,$24.79,"$621,127","1,789,337","178,471","25,263",$0.35,$3.48,$24.59,$0.35,1.49%,-11.08%
J1630,"Injection, haloperidol, up to 5 mg",Haldol*,Haloperidol Lactate*,"$3,364","1,102",915,363,$3.05,$3.68,$9.27,"$1,776",772,693,345,$2.30,$2.56,$5.15,"$3,350",878,745,315,$3.82,$4.50,$10.63,"$2,232",668,519,233,$3.34,$4.30,$9.58,"$1,057",594,458,245,$1.78,$2.31,$4.32,$1.13,-46.72%,-12.62%
J1631,"Injection, haloperidol decanoate, per 50 mg",Haldol Decanoate 100*,Haloperidol Decanoate*,"$805,249","44,901","18,637","2,939",$17.93,$43.21,$273.99,"$745,876","40,917","17,556","2,707",$18.23,$42.49,$275.54,"$536,139","29,509","13,141","2,377",$18.17,$40.80,$225.55,"$434,565","25,057","10,660","1,954",$17.34,$40.77,$222.40,"$386,126","23,062","9,748","1,622",$16.74,$39.61,$238.06,$17.97,-3.46%,-1.70%
J1640,"Injection, hemin, 1 mg",Panhematin,Hemin,"$7,473,600","519,270","1,149",127,$14.39,"$6,504.44","$58,847.24","$7,858,366","438,284","1,020",117,$17.93,"$7,704.28","$67,165.52","$10,238,049","492,510","1,169",107,$20.79,"$8,757.95","$95,682.70","$11,045,926","504,220","1,116",98,$21.91,"$9,897.78","$112,713.53","$11,294,484","492,875","1,092",94,$22.92,"$10,342.93","$120,154.08",$23.36,4.60%,12.33%
J1642,"Injection, heparin sodium, (heparin lock flush), per 10 units",Heparin Flush*,"Heparin Sod,porcine/0.9 % NaCl*","$923,984","5,513,849","136,747","21,201",$0.17,$6.76,$43.58,"$670,599","4,046,273","105,686","16,856",$0.17,$6.35,$39.78,"$571,786","3,259,144","85,653","12,679",$0.18,$6.68,$45.10,"$384,003","2,124,101","56,381","10,478",$0.18,$6.81,$36.65,"$318,310","1,806,930","46,039","8,551",$0.18,$6.91,$37.22,$0.18,-2.56%,1.26%
J1644,"Injection, heparin sodium, per 1000 units",Heparin Sodium*,"Heparin Sodium,porcine*","$289,273","726,246","94,213","20,297",$0.40,$3.07,$14.25,"$193,112","698,838","78,542","18,369",$0.28,$2.46,$10.51,"$162,487","689,432","62,469","16,334",$0.24,$2.60,$9.95,"$234,217","718,591","54,361","14,190",$0.33,$4.31,$16.51,"$225,771","704,017","51,785","13,100",$0.32,$4.36,$17.23,$0.21,-1.61%,-5.27%
J1645,"Injection, dalteparin sodium, per 2500 iu",Fragmin,"Dalteparin Sodium,porcine","$156,160","13,834","2,952",258,$11.29,$52.90,$605.27,"$518,803","37,751","7,357",566,$13.74,$70.52,$916.61,"$327,475","24,887","4,658",421,$13.16,$70.30,$777.85,"$337,642","21,539","4,162",335,$15.68,$81.12,"$1,007.89","$298,464","19,600","3,922",288,$15.23,$76.10,"$1,036.33",$15.47,-2.86%,7.77%
J1650,"Injection, enoxaparin sodium, 10 mg",Enoxaparin Sodium*,Enoxaparin Sodium*,"$686,222","240,626","19,915","4,993",$2.85,$34.46,$137.44,"$403,329","203,852","17,500","4,450",$1.98,$23.05,$90.64,"$258,167","170,190","14,189","3,773",$1.52,$18.19,$68.42,"$193,244","136,382","11,426","3,228",$1.42,$16.91,$59.86,"$230,421","109,375","8,805","2,732",$2.11,$26.17,$84.34,$0.85,48.68%,-7.29%
J1652,"Injection, fondaparinux sodium, 0.5 mg",Arixtra*,Fondaparinux Sodium*,"$973,795","239,924","15,827","2,239",$4.06,$61.53,$434.92,"$528,052","134,315","8,683","1,368",$3.93,$60.81,$386.00,"$301,137","85,771","5,453",914,$3.51,$55.22,$329.47,"$115,816","48,389","3,035",553,$2.39,$38.16,$209.43,"$107,351","36,127","2,249",381,$2.97,$47.73,$281.76,$2.18,24.15%,-7.50%
J1670,"Injection, tetanus immune globulin, human, up to 250 units",Hypertet S-D,Tetanus Immune Globulin/PF,"$919,296","5,920","5,886","5,855",$155.28,$156.18,$157.01,"$736,995","4,597","4,570","4,540",$160.32,$161.27,$162.33,"$647,987","3,763","3,736","3,716",$172.20,$173.44,$174.38,"$573,074","3,317","3,298","3,283",$172.77,$173.76,$174.56,"$417,254","2,646","2,639","2,627",$157.69,$158.11,$158.83,$430.29,-8.73%,0.39%
