State/Muncipality,Primary Substance,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Egremont,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Erving,Alcohol,42.1%,70.6%,54.5%,39.1%,85.7%,80.0%,100.0%,58.3%,not available,not available
Erving,Marijuana,not available,not available,not available,30.4%,not available,not available,not available,not available,not available,not available
Erving,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Erving,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Erving,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Essex,Alcohol,41.2%,39.0%,38.1%,54.1%,72.0%,78.9%,78.6%,37.0%,69.4%,69.7%
Essex,Marijuana,13.7%,not available,not available,not available,not available,not available,not available,not available,not available,not available
Essex,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Essex,Opioids,39.2%,41.5%,50.0%,35.1%,not available,not available,not available,40.7%,12.2%,18.2%
Essex,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Everett,Alcohol,25.7%,28.2%,28.7%,22.6%,25.9%,19.7%,22.3%,23.6%,23.8%,23.1%
Everett,Marijuana,3.6%,4.1%,4.6%,4.4%,4.3%,3.1%,4.2%,4.5%,3.9%,3.9%
Everett,None,not available,not available,not available,not available,not available,not available,not available,not available,0.8%,not available
Everett,Opioids,63.1%,59.0%,57.3%,63.6%,61.3%,70.9%,65.8%,66.3%,68.6%,69.4%
Everett,Other,7.2%,7.7%,9.2%,9.0%,8.5%,6.3%,7.2%,5.1%,2.3%,3.7%
Fairhaven,Alcohol,51.7%,42.5%,39.2%,45.1%,39.5%,48.7%,47.1%,43.8%,34.9%,35.0%
Fairhaven,Marijuana,3.3%,4.3%,7.2%,4.9%,4.2%,3.0%,2.9%,not available,2.9%,not available
Fairhaven,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Fairhaven,Opioids,39.5%,48.4%,45.3%,42.4%,51.4%,42.2%,44.7%,48.2%,54.5%,62.2%
Fairhaven,Other,3.9%,4.3%,7.7%,6.0%,4.2%,6.0%,4.1%,3.0%,7.6%,not available
Fall River,Alcohol,35.9%,34.1%,36.0%,34.7%,28.9%,27.1%,30.5%,24.9%,22.7%,19.4%
Fall River,Marijuana,6.1%,4.8%,4.5%,3.7%,3.9%,3.9%,3.8%,2.5%,2.8%,3.5%
Fall River,None,not available,not available,not available,0.3%,0.2%,not available,not available,not available,not available,not available
Fall River,Opioids,47.2%,48.8%,47.2%,51.5%,58.8%,60.5%,57.9%,64.8%,66.6%,71.7%
Fall River,Other,10.7%,12.2%,12.2%,9.9%,8.2%,8.5%,7.7%,7.7%,7.7%,5.3%
Falmouth,Alcohol,53.9%,55.2%,57.0%,51.7%,54.6%,51.6%,44.5%,43.0%,42.6%,36.7%
Falmouth,Marijuana,4.1%,2.8%,2.8%,3.4%,3.6%,3.7%,3.6%,1.6%,2.5%,1.7%
Falmouth,None,not available,not available,not available,0.5%,not available,not available,not available,not available,not available,not available
Falmouth,Opioids,32.4%,32.3%,29.6%,34.4%,35.6%,40.5%,48.5%,49.4%,52.0%,57.2%
Falmouth,Other,9.7%,9.7%,10.6%,10.1%,6.3%,4.3%,3.3%,5.9%,2.4%,4.2%
Fitchburg,Alcohol,31.5%,30.1%,32.5%,36.7%,35.6%,36.3%,37.6%,32.4%,29.8%,26.0%
Fitchburg,Marijuana,6.5%,6.5%,8.6%,7.0%,10.1%,7.2%,5.7%,8.0%,4.2%,3.6%
Fitchburg,None,not available,not available,not available,not available,not available,not available,not available,not available,0.8%,not available
Fitchburg,Opioids,55.0%,56.9%,49.4%,44.6%,44.7%,50.9%,50.1%,52.5%,59.4%,65.2%
Fitchburg,Other,6.2%,5.8%,9.5%,11.2%,9.6%,5.6%,6.6%,6.2%,5.2%,4.9%
Florida,Alcohol,57.1%,61.5%,53.3%,57.1%,80.0%,not available,61.1%,not available,not available,not available
Florida,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Florida,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Florida,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Florida,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Foxborough,Alcohol,67.0%,58.8%,57.9%,66.3%,67.0%,66.3%,51.5%,45.3%,48.9%,39.6%
Foxborough,Marijuana,not available,7.1%,not available,not available,not available,8.2%,6.6%,4.7%,8.1%,not available
Foxborough,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Foxborough,Opioids,24.0%,21.2%,28.5%,17.3%,19.8%,16.3%,38.3%,46.5%,37.0%,56.2%
Foxborough,Other,not available,not available,8.7%,9.2%,5.7%,not available,not available,not available,4.4%,not available
Framingham,Alcohol,45.5%,44.3%,41.4%,40.1%,43.2%,39.4%,41.5%,39.5%,36.4%,44.7%
Framingham,Marijuana,7.2%,8.2%,12.7%,10.1%,9.3%,10.1%,8.5%,8.5%,7.7%,7.0%
Framingham,None,not available,0.8%,1.9%,0.9%,not available,not available,0.6%,not available,not available,not available
Framingham,Opioids,35.4%,32.4%,30.9%,34.3%,33.3%,40.1%,39.6%,43.8%,46.9%,41.5%
Framingham,Other,11.8%,14.2%,13.2%,14.6%,13.7%,10.3%,9.7%,7.8%,8.7%,6.7%
Franklin,Alcohol,59.9%,57.1%,59.0%,61.4%,56.5%,54.3%,53.9%,43.0%,43.2%,41.3%
Franklin,Marijuana,not available,3.6%,3.3%,5.7%,4.2%,3.8%,5.0%,6.1%,4.6%,5.3%
Franklin,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Franklin,Opioids,26.1%,31.5%,28.9%,25.6%,35.1%,38.2%,35.6%,46.9%,48.1%,49.8%
Franklin,Other,7.6%,6.0%,6.6%,5.1%,3.6%,not available,not available,2.6%,2.5%,not available
Freetown,Alcohol,60.4%,69.6%,57.4%,56.4%,45.0%,33.7%,37.1%,26.1%,38.7%,40.0%
Freetown,Marijuana,not available,not available,10.3%,not available,not available,not available,9.3%,not available,not available,not available
Freetown,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Freetown,Opioids,22.6%,15.2%,14.7%,30.8%,48.8%,53.2%,50.5%,65.7%,55.7%,52.2%
Freetown,Other,not available,not available,11.8%,7.7%,not available,6.5%,not available,not available,not available,not available
Gardner,Alcohol,41.8%,40.8%,41.6%,43.8%,40.7%,41.0%,45.3%,36.8%,36.5%,28.1%
Gardner,Marijuana,6.1%,10.0%,7.6%,9.8%,9.8%,7.8%,5.5%,2.6%,3.7%,2.2%
Gardner,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Gardner,Opioids,49.6%,42.9%,43.2%,35.8%,39.3%,47.0%,45.9%,54.2%,55.5%,60.5%
Gardner,Other,2.5%,5.4%,6.4%,8.0%,6.5%,3.2%,2.1%,5.6%,3.0%,9.1%
Gay Head,Alcohol,not available,not available,not available,not available,not available,not available,not available,100.0%,not available,not available
Gay Head,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Gay Head,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Gay Head,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Gay Head,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Georgetown,Alcohol,77.2%,65.0%,63.2%,50.0%,53.2%,53.3%,62.3%,50.0%,41.4%,42.4%
Georgetown,Marijuana,not available,not available,not available,12.5%,not available,not available,11.3%,not available,8.6%,not available
Georgetown,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Georgetown,Opioids,not available,22.5%,19.3%,35.7%,31.9%,23.3%,22.6%,45.9%,44.3%,50.0%
Georgetown,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Gill,Alcohol,50.0%,not available,not available,68.8%,72.7%,not available,66.7%,not available,not available,not available
Gill,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Gill,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Gill,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,77.8%
Gill,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Gloucester,Alcohol,40.1%,44.7%,34.5%,38.7%,35.7%,35.3%,39.7%,35.5%,36.8%,43.1%
Gloucester,Marijuana,3.4%,5.8%,3.3%,4.0%,2.9%,3.9%,6.5%,6.4%,3.8%,2.8%
Gloucester,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Gloucester,Opioids,48.2%,44.3%,55.4%,48.6%,57.1%,56.8%,50.9%,54.3%,55.6%,51.3%
Gloucester,Other,8.1%,5.3%,6.8%,8.2%,4.3%,4.0%,3.0%,3.8%,3.4%,1.8%
Goshen,Alcohol,72.7%,54.5%,not available,60.0%,not available,not available,not available,not available,not available,not available
Goshen,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Goshen,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Goshen,Opioids,not available,not available,not available,not available,not available,not available,not available,70.0%,not available,not available
Goshen,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Gosnold,Alcohol,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Gosnold,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Gosnold,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Gosnold,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Gosnold,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Grafton,Alcohol,49.3%,40.0%,48.8%,47.3%,62.7%,43.4%,26.4%,33.9%,26.6%,34.2%
Grafton,Marijuana,not available,not available,5.4%,5.3%,not available,5.9%,4.1%,not available,3.9%,not available
Grafton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Grafton,Opioids,41.7%,55.1%,34.1%,42.7%,29.1%,44.8%,67.6%,63.0%,66.9%,61.5%
Grafton,Other,not available,not available,6.2%,not available,not available,5.1%,not available,not available,not available,not available
Granby,Alcohol,75.0%,52.5%,50.8%,42.9%,52.7%,35.1%,45.0%,47.2%,37.0%,25.0%
Granby,Marijuana,not available,15.0%,not available,not available,not available,not available,not available,8.3%,not available,not available
Granby,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Granby,Opioids,10.7%,27.5%,32.2%,45.8%,37.8%,58.4%,48.4%,29.2%,49.3%,56.9%
Granby,Other,not available,not available,not available,8.6%,not available,not available,not available,not available,not available,not available
Granville,Alcohol,66.7%,63.6%,not available,66.7%,46.7%,60.0%,50.0%,81.8%,64.3%,not available
Granville,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Granville,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Granville,Opioids,not available,31.8%,not available,not available,not available,not available,not available,not available,not available,not available
Granville,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Great Barrington,Alcohol,59.8%,63.9%,63.6%,61.7%,57.0%,62.3%,61.8%,61.8%,59.4%,60.6%
Great Barrington,Marijuana,18.1%,10.7%,12.4%,12.1%,11.1%,5.8%,11.8%,7.3%,8.0%,not available
Great Barrington,None,not available,4.9%,5.0%,not available,not available,not available,not available,not available,not available,not available
Great Barrington,Opioids,12.6%,13.2%,5.8%,19.4%,24.5%,29.8%,25.0%,28.4%,27.5%,34.5%
Great Barrington,Other,not available,5.7%,8.3%,not available,6.7%,not available,not available,not available,not available,not available
Greenfield,Alcohol,60.4%,58.7%,58.9%,62.8%,65.8%,61.5%,67.3%,57.9%,41.5%,34.7%
Greenfield,Marijuana,5.6%,8.9%,9.5%,12.5%,6.2%,11.0%,8.5%,4.0%,4.3%,not available
Greenfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Greenfield,Opioids,22.7%,21.1%,19.1%,17.0%,20.2%,19.7%,15.4%,26.7%,50.2%,56.9%
Greenfield,Other,10.3%,10.3%,12.5%,7.3%,7.7%,5.7%,8.9%,11.4%,2.4%,5.0%
Groton,Alcohol,64.4%,51.2%,42.9%,73.8%,46.5%,35.6%,69.0%,44.4%,31.1%,27.8%
Groton,Marijuana,11.9%,not available,16.7%,not available,not available,not available,not available,not available,not available,not available
Groton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Groton,Opioids,16.9%,36.6%,28.6%,not available,23.3%,48.9%,23.8%,50.0%,62.1%,64.8%
Groton,Other,not available,not available,not available,not available,14.0%,not available,not available,not available,not available,not available
Groveland,Alcohol,50.0%,57.9%,52.7%,44.2%,37.2%,56.7%,50.0%,50.0%,52.2%,51.9%
Groveland,Marijuana,16.7%,not available,14.5%,13.5%,not available,13.3%,13.0%,14.3%,not available,not available
Groveland,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Groveland,Opioids,19.4%,21.1%,12.7%,28.8%,34.9%,26.6%,24.1%,34.0%,32.6%,35.2%
Groveland,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hadley,Alcohol,62.1%,69.8%,58.1%,50.8%,53.0%,52.6%,41.9%,63.5%,51.9%,18.6%
Hadley,Marijuana,not available,not available,not available,11.5%,not available,not available,not available,not available,not available,not available
Hadley,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hadley,Opioids,25.8%,16.3%,30.2%,29.5%,34.8%,35.1%,38.7%,26.9%,37.0%,58.1%
Hadley,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Halifax,Alcohol,58.9%,53.2%,36.2%,42.1%,52.6%,51.4%,40.2%,36.9%,43.0%,22.0%
Halifax,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Halifax,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Halifax,Opioids,30.1%,34.0%,47.9%,48.6%,39.8%,41.4%,53.9%,58.0%,49.6%,72.0%
Halifax,Other,not available,10.6%,7.4%,not available,not available,not available,not available,not available,4.4%,not available
Hamilton,Alcohol,86.2%,60.7%,84.8%,81.1%,61.3%,57.9%,65.9%,53.1%,51.1%,36.7%
Hamilton,Marijuana,,,,,,,,0.143,not available,not available
Hamilton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hamilton,Opioids,not available,not available,not available,not available,0.194,0.211,0.182,0.286,0.447,0.469
Hamilton,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hampden,Alcohol,0.56,0.523,0.425,0.565,0.455,0.59,0.478,0.627,0.485,0.464
Hampden,Marijuana,0.12,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hampden,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hampden,Opioids,0.16,0.387,0.475,0.326,0.182,0.333,0.304,0.314,0.303,0.393
Hampden,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hancock,Alcohol,0.857,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hancock,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hancock,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hancock,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hancock,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hanover,Alcohol,0.511,0.494,0.39,0.535,0.553,0.312,0.358,0.307,0.277,0.415
Hanover,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,0.044,not available
Hanover,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hanover,Opioids,0.421,0.442,0.492,0.364,0.401,0.639,0.593,0.644,0.616,0.548
Hanover,Other,not available,not available,0.093,0.07,not available,not available,not available,not available,0.063,not available
Hanson,Alcohol,0.557,0.405,0.515,0.504,0.51,0.38,0.384,0.37,0.315,0.355
Hanson,Marijuana,not available,0.052,0.072,not available,not available,not available,not available,not available,not available,not available
Hanson,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hanson,Opioids,0.341,0.508,0.33,0.423,0.385,0.557,0.555,0.589,0.631,0.579
Hanson,Other,not available,not available,0.082,0.051,0.058,not available,not available,not available,not available,not available
Hardwick,Alcohol,0.846,0.522,0.579,0.444,0.611,0.545,0.7,0.517,0.393,0.5
Hardwick,Marijuana,not available,not available,not available,0.333,not available,not available,not available,not available,not available,not available
Hardwick,None,not available,not available,not available,,not available,not available,not available,not available,not available,not available
Hardwick,Opioids,not available,0.304,not available,not available,not available,0.273,not available,not available,0.571,0.364
Hardwick,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Harvard,Alcohol,0.4,0.4,0.571,0.615,0.6,not available,0.588,0.786,0.429,0.444
Harvard,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Harvard,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Harvard,Opioids,0.567,0,not available,not available,not available,not available,not available,not available,not available,0.333
Harvard,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Harwich,Alcohol,0.563,0.538,0.678,0.646,0.568,0.64,0.483,0.514,0.508,0.585
Harwich,Marijuana,0.098,0.08,0.049,not available,0.053,0.042,0.063,0.036,0.037,not available
Harwich,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Harwich,Opioids,0.264,0.289,0.196,0.258,0.33,0.267,0.416,0.427,0.423,0.368
Harwich,Other,0.074,0.089,0.071,not available,0.029,0.028,not available,not available,not available,not available
Hatfield,Alcohol,0.633,0.655,0.621,0.842,0.775,0.545,0.667,0.594,0.438,0.4
Hatfield,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hatfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hatfield,Opioids,not available,0.207,not available,not available,not available,0.205,not available,0.344,0.5,0.55
Hatfield,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Havehill,Alcohol,0.472,0.465,0.46,0.475,0.483,0.413,0.441,0.391,0.35,0.293
Havehill,Marijuana,0.107,0.112,0.118,0.094,0.085,0.087,0.093,0.089,0.101,0.051
Havehill,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Havehill,Opioids,0.325,0.298,0.294,0.333,0.325,0.428,0.387,0.469,0.511,0.621
Havehill,Other,0.095,0.125,0.128,0.094,0.103,0.072,0.077,0.05,0.036,0.034
Hawley,Alcohol,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hawley,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hawley,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hawley,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hawley,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Heath,Alcohol,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Heath,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Heath,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Heath,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Heath,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hingham,Alcohol,0.414,0.434,0.463,0.659,0.533,0.478,0.45,0.467,0.406,0.358
Hingham,Marijuana,not available,0.041,not available,not available,0.065,not available,0.047,not available,not available,not available
Hingham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hingham,Opioids,0.479,0.406,0.426,0.264,0.391,0.513,0.465,0.475,0.536,0.585
Hingham,Other,0.081,0.118,0.068,not available,not available,not available,not available,not available,not available,0.038
Hindale,Alcohol,0.5,0.667,0.556,0.556,0.478,0.644,0.625,0.71,0.719,0.357
Hindale,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hindale,None,0.12,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hindale,Opioids,0.22,0.2,0.133,not available,not available,0.133,not available,0.258,not available,0.476
Hindale,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Holbrook,Alcohol,0.419,0.423,0.363,0.319,0.266,0.303,0.271,0.223,0.249,0.231
Holbrook,Marijuana,0.034,0.061,0.035,not available,not available,not available,not available,0.026,not available,not available
Holbrook,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Holbrook,Opioids,0.436,0.409,0.474,0.582,0.644,0.606,0.667,0.716,0.677,0.702
Holbrook,Other,0.089,0.107,0.123,0.06,0.04,0.059,not available,0.026,0.035,0.041
Holden,Alcohol,0.685,0.635,0.545,0.59,0.675,0.654,0.505,0.355,0.354,0.287
Holden,Marijuana,not available,0.095,0.117,not available,0.104,not available,0.086,0.145,not available,not available
Holden,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Holden,Opioids,0.192,0.175,0.208,0.269,0.117,0.284,0.343,0.487,0.584,0.653
Holden,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Holland,Alcohol,0.615,0.586,0.6,0.459,0.645,0.455,0.32,0.385,0.345,0.52
Holland,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,0.207,not available
Holland,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Holland,Opioids,not available,0.207,0.24,0.27,not available,0.273,0.48,0.346,0.241,0.36
Holland,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Holliston,Alcohol,0.733,0.808,0.6,0.558,0.632,0.686,0.461,0.659,0.46,0.526
Holliston,Marijuana,0.1,not available,0.133,0.195,0.118,0.114,0.112,0.099,0.097,0.093
Holliston,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Holliston,Opioids,0.117,0.09,0.187,0.143,0.221,0.1,0.393,0.187,0.395,0.309
Holliston,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Holyoke,Alcohol,0.32,0.333,0.345,0.328,0.379,0.349,0.329,0.278,0.254,0.261
Holyoke,Marijuana,0.045,0.064,0.071,0.102,0.094,0.068,0.069,0.053,0.069,0.057
Holyoke,None,not available,0.015,not available,0.005,not available,not available,not available,not available,not available,not available
Holyoke,Opioids,0.504,0.446,0.44,0.439,0.435,0.485,0.511,0.561,0.623,0.591
Holyoke,Other,0.131,0.142,0.143,0.126,0.093,0.097,0.09,0.108,0.054,0.09
Hopedale,Alcohol,0.513,0.688,0.561,0.48,0.487,0.462,0.469,0.463,0.44,0.545
Hopedale,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hopedale,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hopedale,Opioids,0.333,0.208,0.228,0.3,0.282,0.442,0.265,0.317,0.34,0.273
Hopedale,Other,not available,not available,not available,0.12,not available,not available,not available,not available,not available,not available
Hopkinton,Alcohol,0.44,0.487,0.48,0.577,0.475,0.538,0.472,0.6,0.398,0.402
Hopkinton,Marijuana,0.069,0.085,0.098,0.077,0.121,0.063,0.099,0.087,0.081,0.073
Hopkinton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hopkinton,Opioids,0.326,0.301,0.249,0.218,0.34,0.322,0.288,0.244,0.441,0.464
Hopkinton,Other,0.165,0.121,0.168,0.085,0.057,0.056,0.141,0.052,0.081,0.043
Hubbardston,Alcohol,0.769,0.514,0.444,0.593,0.556,0.524,0.522,0.489,0.667,0.516
Hubbardston,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hubbardston,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hubbardston,Opioids,not available,0.324,0.37,not available,0.361,0.476,0.261,0.446,0.167,0.419
Hubbardston,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hudson,Alcohol,0.505,0.556,0.497,0.605,0.481,0.568,0.517,0.411,0.411,0.437
Hudson,Marijuana,0.084,0.138,0.105,0.074,0.117,0.088,0.047,0.091,0.051,0.051
Hudson,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hudson,Opioids,0.363,0.256,0.293,0.248,0.325,0.272,0.362,0.463,0.508,0.503
Hudson,Other,0.032,0.044,0.055,0.063,0.058,not available,not available,not available,not available,not available
Hull,Alcohol,0.536,0.42,0.456,0.482,0.389,0.399,0.353,0.339,0.456,0.374
Hull,Marijuana,0.042,not available,0.049,0.031,0.05,not available,not available,0.031,not available,0.04
Hull,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Hull,Opioids,0.351,0.477,0.395,0.433,0.505,0.542,0.57,0.573,0.497,0.569
Hull,Other,0.06,0.062,0.082,0.031,0.044,not available,0.038,0.031,not available,not available
Huntington,Alcohol,0.414,0.526,0.417,0.552,0.353,0.429,0.28,0.474,0.429,0.206
Huntington,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Huntington,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Huntington,Opioids,0.379,0.333,0.417,0.345,0.5,0.4,0.32,not available,0.457,0.765
Huntington,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Ipswich,Alcohol,0.731,0.699,0.639,0.664,0.476,0.518,0.744,0.593,0.479,0.479
Ipswich,Marijuana,0.101,not available,0.074,not available,not available,not available,not available,not available,0.118,0.048
Ipswich,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Ipswich,Opioids,0.092,0.146,0.205,0.271,0.369,0.47,0.192,0.326,0.37,0.419
Ipswich,Other,not available,0.058,0.057,not available,not available,not available,not available,not available,not available,0.036
Kingston,Alcohol,0.682,0.577,0.622,0.473,0.618,0.508,0.467,0.331,0.405,0.374
Kingston,Marijuana,not available,0.062,not available,0.04,0.073,not available,0.072,0.05,0.069,not available
Kingston,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Kingston,Opioids,0.118,0.239,0.281,0.44,0.3,0.438,0.434,0.582,0.489,0.545
Kingston,Other,0.119,0.123,0.059,0.04,not available,not available,not available,not available,not available,not available
Lakeville,Alcohol,0.6,0.55,0.565,0.323,0.507,0.377,0.396,0.353,0.41,0.358
Lakeville,Marijuana,not available,not available,0.076,0.145,not available,not available,0.062,not available,0.067,0.075
Lakeville,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Lakeville,Opioids,0.28,0.383,0.282,0.388,0.435,0.507,0.49,0.58,0.495,0.556
Lakeville,Other,0.09,not available,0.076,0.129,not available,not available,not available,not available,not available,not available
Lancaster,Alcohol,0.72,0.629,0.42,0.529,0.603,0.423,0.471,0.459,0.403,0.312
Lancaster,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Lancaster,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Lancaster,Opioids,not available,0.2,0.42,0.265,0.362,0.385,0.353,0.459,0.549,0.609
Lancaster,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Lanesborough,Alcohol,0.415,0.263,0.378,0.615,0.595,0.569,0.796,0.562,0.512,0.23
Lanesborough,Marijuana,not available,0.158,not available,not available,not available,0.103,not available,not available,not available,not available
Lanesborough,None,not available,0.158,not available,not available,not available,not available,not available,not available,not available,not available
Lanesborough,Opioids,0.341,0.263,0.355,0,0,0.293,0,0.438,0.45,0.721
Lanesborough,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Lawrence,Alcohol,0.328,0.366,0.391,0.398,0.366,0.384,0.403,0.327,0.274,0.195
Lawrence,Marijuana,0.105,0.104,0.106,0.098,0.087,0.101,0.09,0.07,0.073,0.039
Lawrence,None,not available,not available,0.006,0.006,0.007,not available,not available,not available,0.006,not available
Lawrence,Opioids,0.469,0.421,0.363,0.371,0.46,0.43,0.429,0.548,0.613,0.739
Lawrence,Other,0.097,0.105,0.134,0.127,0.079,0.084,0.075,0.055,0.036,0.023
Lee,Alcohol,0.416,0.516,0.47,0.453,0.491,0.587,0.627,0.595,0.481,0.5
